"Error in Buy X configuration - Product Y is not unique across all extension settings.","Error in Buy X configuration - Product Y is not unique across all extension settings."
"A BuyXGetYFree Extension cart error was detected!","A BuyXGetYFree Extension cart error was detected!"
"Error in Spend X configuration - Product Y is not unique across all extension settings.","Error in Spend X configuration - Product Y is not unique across all extension settings."
"Error in Coupon X configuration - Product Y is not unique across all extension settings.","Error in Coupon X configuration - Product Y is not unique across all extension settings."
"Error in Spend X configuration - Product Y is not unique across all extension settings.","Error in Spend X configuration - Product Y is not unique across all extension settings."
"Error in Category X configuration - Product Y is not unique across all extension settings.","Error in Category X configuration - Product Y is not unique across all extension settings."
"Your","Your"
"has been added to your cart.","has been added to your cart."
"has been removed from your cart.","has been removed from your cart."
"is out of stock and cannot be added to the cart!","is out of stock and cannot be added to the cart!"
"Buy one more","Buy one more"
"to qualify for a ","to qualify for a"
"excluded from our offers.","excluded from our offers."
"You have reached your","You have reached your"
"limit of","limit of"
"Buy one more to qualify for the","Buy one more to qualify for the"
"Cart total does not qualify for this Coupon offer.","Cart total does not qualify for this Coupon offer."
